epoch,train_loss,train_mse,train_mae,train_rmse,train_r2,train_mape,train_spearman,train_pearson,train_max_error,train_median_ae,train_explained_variance,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_mse,val_mae,val_rmse,val_r2,val_mape,val_spearman,val_pearson,val_max_error,val_median_ae,val_explained_variance,val_accuracy,val_precision,val_recall,val_f1,is_best,early_stopped
1,0.8095389392815138,2.3206522464752197,1.2346163988113403,1.523368716521125,-0.37781620025634766,38238.1875,-0.06071807486672289,-0.0490899533033371,5.048756122589111,1.0890558958053589,-0.37552380561828613,0.3007518796992481,0.27688983855650523,0.30230677562138236,0.23814655172413793,0.713523196546655,2.1793177127838135,1.1046603918075562,1.476251236336083,-0.28038132190704346,1.6980024576187134,0.09060567940464409,0.06077616661787033,3.891221046447754,0.8261444568634033,0.00022238492965698242,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
2,0.7012120857274622,1.8753843307495117,1.1273117065429688,1.3694467243195376,-0.11345183849334717,17510.673828125,-0.037619836419636954,-0.03886021673679352,4.27607536315918,1.0179702043533325,-0.08221089839935303,0.3233082706766917,0.33662714097496704,0.3256298944501192,0.1829271803465352,0.6614758874240675,1.8805660009384155,1.0778104066848755,1.3713373038528542,-0.10486042499542236,1.41584050655365,0.10701975176055788,0.002494117710739374,3.622899293899536,0.878646969795227,4.470348358154297e-06,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
3,0.7099923872409907,1.9497710466384888,1.128982663154602,1.39634202351662,-0.1576167345046997,15975.0634765625,-0.08943482097924403,-0.09412969648838043,4.375607490539551,1.005741000175476,-0.10247695446014404,0.3157894736842105,0.17470355731225298,0.3180966973101804,0.17378081894210928,0.6528129514894987,1.7266957759857178,1.091245174407959,1.3140379659605417,-0.014459371566772461,1.193562388420105,-0.20867757321818392,-0.212326318025589,3.354705333709717,0.9710256457328796,-0.0006272792816162109,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
4,0.6763133276674084,1.7338374853134155,1.1029540300369263,1.3167526287474862,-0.02941274642944336,11295.4892578125,0.06736725861490617,0.02944204770028591,4.3478851318359375,1.0442862510681152,-0.028576135635375977,0.34210526315789475,0.2658356136617006,0.34444160708205657,0.2053935943879018,0.7221971389494444,2.2223448753356934,1.1120842695236206,1.4907531235371245,-0.3056604862213135,1.735137701034546,-0.10822345039999155,-0.08736039698123932,3.924048900604248,0.8266485929489136,-0.0004919767379760742,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
5,0.6861354291887212,1.9278963804244995,1.0972950458526611,1.388487083276074,-0.14462924003601074,16639.1328125,0.028869769471543436,-0.025856396183371544,4.855775833129883,0.8936225771903992,-0.07822072505950928,0.32706766917293234,0.184946621339536,0.3293326523663602,0.19491799741044455,0.6523007562285975,1.7306815385818481,1.0904605388641357,1.315553700379368,-0.016800999641418457,1.2041854858398438,-0.22684247995872855,-0.17505213618278503,3.36826229095459,0.971549391746521,-0.0005509853363037109,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
6,0.6704423364840055,1.7630512714385986,1.0849641561508179,1.3277994093380967,-0.04675769805908203,20365.201171875,-0.02843237770367138,0.021392839029431343,3.832080125808716,0.9851909875869751,-0.01150214672088623,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6514340764597842,1.7739665508270264,1.0851064920425415,1.3319033564140554,-0.04223155975341797,1.2862781286239624,-0.14903977699169718,-0.16578887403011322,3.4679341316223145,0.9137997627258301,-0.0005254745483398438,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
7,0.6843583090861041,1.8475415706634521,1.1014220714569092,1.3592430138365443,-0.09692108631134033,25540.9375,-0.07524796160455427,-0.11082316935062408,4.250473499298096,0.9884048700332642,-0.05428814888000488,0.3308270676691729,0.11069182389937106,0.3333333333333333,0.16619452313503305,0.6564945609946,1.8398427963256836,1.0792160034179688,1.3564080493441801,-0.08093488216400146,1.3719923496246338,-0.007769327581799192,0.009658641181886196,3.572242259979248,0.8739311695098877,3.0875205993652344e-05,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
8,0.6757407537976602,1.7632344961166382,1.0965871810913086,1.3278684031622403,-0.046866416931152344,19450.3984375,-0.053281139618239416,-0.025942353531718254,3.9995946884155273,1.0146541595458984,-0.024042367935180664,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6518626464040655,1.7882112264633179,1.0833930969238281,1.3372401528758093,-0.050600528717041016,1.308676838874817,-0.08732286493346135,0.060375504195690155,3.4935383796691895,0.8984646797180176,0.00016295909881591797,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
9,0.6695397157866255,1.7993799448013306,1.0865201950073242,1.341409685667034,-0.06832671165466309,20391.8125,-0.02382254901312479,-0.0427841879427433,4.2387800216674805,0.9777324199676514,-0.021233677864074707,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6562374516537315,1.8379548788070679,1.0792306661605835,1.3557119453656326,-0.07982563972473145,1.3711576461791992,-0.08425890476035743,0.10902810096740723,3.5701205730438232,0.8733049631118774,0.00048220157623291016,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
10,0.6764112502980725,1.7961968183517456,1.0950732231140137,1.3402226749132942,-0.066436767578125,16363.8515625,-0.05510498677858638,-0.05044308304786682,4.005709648132324,0.9936907291412354,-0.03153049945831299,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.646761489541907,1.7035235166549683,1.0843926668167114,1.3051909885740738,-0.0008453130722045898,1.1731945276260376,0.2663456807619611,0.37625575065612793,3.3531084060668945,0.9723962545394897,0.011464178562164307,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
11,0.698749428236843,1.8816136121749878,1.1195991039276123,1.3717192176881492,-0.11715030670166016,19785.19140625,-0.07108827662846494,-0.08378945291042328,4.34205436706543,1.0243964195251465,-0.08178865909576416,0.32706766917293234,0.10984848484848485,0.32954545454545453,0.16477272727272727,0.65366981845153,1.8139947652816772,1.0810651779174805,1.346846229263637,-0.06574881076812744,1.3416622877120972,0.15866936610716662,0.23109222948551178,3.5339951515197754,0.8738620281219482,0.00021499395370483398,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
12,0.671092727130517,1.7454601526260376,1.0962592363357544,1.3211586402192728,-0.036313414573669434,16519.931640625,-0.048912003919488314,-0.07051214575767517,4.097121238708496,1.027367353439331,-0.01903998851776123,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6505783074780515,1.7527228593826294,1.0867879390716553,1.3239043996386708,-0.029750585556030273,1.2516719102859497,0.1681895280735966,0.2674928903579712,3.4247255325317383,0.9312843084335327,0.00021064281463623047,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
13,0.659493971027826,1.7479431629180908,1.0745447874069214,1.3220980156244433,-0.037787556648254395,21907.28125,0.0463316475279749,0.036186493933200836,4.131885051727295,0.9571436047554016,-0.0008727312088012695,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6654878070479945,1.9092395305633545,1.078160285949707,1.3817523405311658,-0.12170648574829102,1.4463614225387573,0.22565112716130442,0.2163596898317337,3.654639720916748,0.904136598110199,0.00010037422180175781,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
14,0.6660033116271173,1.7814197540283203,1.0841329097747803,1.3346983756745643,-0.05766332149505615,20712.736328125,-0.022086690284215647,-0.007633116561919451,4.176668167114258,0.9324892163276672,-0.010324716567993164,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.651969125396327,1.791967511177063,1.082915186882019,1.3386439075336887,-0.05280745029449463,1.3133695125579834,0.24938447266085012,0.30656784772872925,3.4991512298583984,0.8924490809440613,0.00019878149032592773,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
15,0.6606213385449317,1.7359375953674316,1.0805039405822754,1.3175498454963408,-0.03065967559814453,18071.775390625,0.014768029340309834,0.018319521099328995,4.126381874084473,0.9741643667221069,-0.006809115409851074,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.659726945977462,1.8678826093673706,1.0777366161346436,1.3667050191491106,-0.09740865230560303,1.4024211168289185,0.1179624666645004,0.2449144572019577,3.6063127517700195,0.8775407671928406,0.00020927190780639648,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
16,0.6633385902732835,1.7533276081085205,1.081939697265625,1.324132775860684,-0.040984392166137695,18532.900390625,-0.003398393764953433,0.0037577275652438402,4.188689231872559,0.9840909242630005,-0.006001710891723633,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6565955940045809,1.8418687582015991,1.0790103673934937,1.3571546552259985,-0.08212518692016602,1.3748390674591064,0.17136291539573995,0.21837873756885529,3.5733346939086914,0.8727631568908691,0.0003108978271484375,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
17,0.6835122852397144,1.7945630550384521,1.1061038970947266,1.3396130243613087,-0.06546664237976074,14735.8486328125,-0.06866891356258956,-0.0679994747042656,4.046515464782715,1.0386021137237549,-0.042617082595825195,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6506689598685816,1.7655363082885742,1.0853601694107056,1.3287348525151939,-0.03727865219116211,1.2741755247116089,0.30520901729043554,0.33456045389175415,3.4516444206237793,0.9136816263198853,0.0003082752227783203,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
18,0.6777846423306859,1.840012550354004,1.089333176612854,1.356470622739027,-0.09245097637176514,21101.97265625,-0.16288922129659117,-0.17320320010185242,4.1529154777526855,0.939419150352478,-0.03740262985229492,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6580553697912317,1.8546347618103027,1.0781513452529907,1.3618497574293218,-0.08962535858154297,1.3878694772720337,0.18930896783820564,0.3009190261363983,3.590019941329956,0.8770438432693481,0.00020253658294677734,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
19,0.6580087116786412,1.7428900003433228,1.076812505722046,1.3201855931433741,-0.03478741645812988,18192.7265625,0.09819477068594107,0.06770756095647812,4.083078384399414,0.9693006277084351,0.004574298858642578,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6648293043437757,1.9049577713012695,1.077808141708374,1.3802020762559624,-0.11919093132019043,1.4415907859802246,0.1387536249819912,0.23235176503658295,3.649831771850586,0.9044784307479858,0.00019943714141845703,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
20,0.6779330012045408,1.8335392475128174,1.092333197593689,1.354082437487769,-0.08860766887664795,22887.8828125,-0.15571497614776264,-0.1406949758529663,4.159631252288818,0.9457387924194336,-0.029630064964294434,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6626821003462139,1.8905032873153687,1.0775539875030518,1.3749557401296117,-0.11069869995117188,1.427097201347351,0.19806313976135967,0.32594165205955505,3.6334476470947266,0.8890788555145264,0.0005690455436706543,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
21,0.6631201451882384,1.7597872018814087,1.0782111883163452,1.3265697124091929,-0.04481971263885498,23672.3125,0.005477598655668844,0.014894048683345318,4.277756214141846,0.9716176986694336,-0.002804875373840332,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.653940244724876,1.8169705867767334,1.0807499885559082,1.3479505134747096,-0.0674971342086792,1.3455554246902466,0.2271707614058468,0.29539966583251953,3.53849196434021,0.8739694356918335,0.00034809112548828125,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
22,0.6802191599867398,1.7454272508621216,1.108954906463623,1.3211461883009472,-0.036293864250183105,17467.033203125,-0.17619332716892105,-0.1444573998451233,3.846409797668457,1.0639846324920654,-0.026750683784484863,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.657834645948912,1.8533841371536255,1.07793390750885,1.3613905160363156,-0.08889055252075195,1.387429118156433,0.112709963510608,0.26949381828308105,3.5896694660186768,0.8772811889648438,0.0006935596466064453,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
23,0.6658305947045634,1.848676323890686,1.0691416263580322,1.3596603707877515,-0.09759485721588135,26755.1953125,0.04574601438104999,0.06928194314241409,4.2975616455078125,0.8840653896331787,0.004598557949066162,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6531380885525754,1.8149257898330688,1.0796895027160645,1.347191816273046,-0.06629574298858643,1.3444727659225464,0.18701099770837776,0.29473596811294556,3.541851043701172,0.8725064992904663,0.002178788185119629,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
24,0.6697993753547955,1.7014278173446655,1.0973403453826904,1.3043879090763857,-0.010170578956604004,15716.9873046875,-0.02725122865121805,-0.00772160803899169,3.913788318634033,1.0630282163619995,-0.004691958427429199,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6508278156581678,1.775062918663025,1.0842959880828857,1.3323148721916396,-0.04287576675415039,1.2893760204315186,0.16721383234843507,0.2291686236858368,3.4713058471679688,0.9139386415481567,0.0005211234092712402,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
25,0.6607771986409238,1.767072319984436,1.0779740810394287,1.3293127246755883,-0.049144864082336426,21455.70703125,0.05685295985675145,0.05174149572849274,4.119675159454346,0.929848313331604,0.0017787814140319824,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6580954429350401,1.8556922674179077,1.078059196472168,1.3622379628456651,-0.09024667739868164,1.3889137506484985,0.11117798342405603,0.16541458666324615,3.5923399925231934,0.875603437423706,0.0002880692481994629,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
26,0.6567968076333067,1.7085515260696411,1.077830195426941,1.30711572787938,-0.014400005340576172,16926.5078125,0.09436344833442038,0.12023818492889404,4.093228340148926,1.0081706047058105,0.011478960514068604,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6551987811138755,1.8298656940460205,1.0798673629760742,1.3527252840270343,-0.07507312297821045,1.360632061958313,0.17552114705923808,0.1794721931219101,3.5582690238952637,0.8706845045089722,0.0002637505531311035,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
27,0.6614873714016792,1.7441741228103638,1.0804007053375244,1.320671845240279,-0.03554987907409668,18959.48046875,0.02765929094194416,0.016562767326831818,4.017062664031982,0.9818923473358154,-0.001473069190979004,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.660934738422695,1.8773781061172485,1.077684998512268,1.3701744801729627,-0.10298740863800049,1.4128320217132568,0.00021886627270737577,0.16858190298080444,3.619746446609497,0.8768612146377563,0.0002967715263366699,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
28,0.6717647659151178,1.7388156652450562,1.0971243381500244,1.3186415984812008,-0.03236842155456543,17163.380859375,-0.04954481926877843,-0.08373501896858215,3.992971420288086,1.050292730331421,-0.02022993564605713,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6612203764288049,1.879010796546936,1.077770471572876,1.3707701472336404,-0.10394668579101562,1.4148752689361572,-0.11949444675105236,0.12561511993408203,3.621258020401001,0.8777930736541748,0.00023001432418823242,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
29,0.6768435061089975,1.8597816228866577,1.0877405405044556,1.3637381064143723,-0.10418820381164551,24512.625,-0.11386372505249466,-0.1273716390132904,4.1835174560546875,0.8847243785858154,-0.031557440757751465,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6589176278365286,1.8624536991119385,1.0775606632232666,1.36471744295731,-0.09421908855438232,1.3968616724014282,0.2793675114976526,0.2967201769351959,3.6015102863311768,0.8769819736480713,0.0006183385848999023,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
30,0.6603134514805966,1.7299878597259521,1.0789556503295898,1.3152900287487745,-0.02712726593017578,18163.462890625,0.04600838568204029,0.04097473621368408,4.026899814605713,1.0001628398895264,0.0013099312782287598,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6543065623233193,1.8206158876419067,1.0804352760314941,1.3493020001622715,-0.06963872909545898,1.3506587743759155,-0.048695081322544236,0.20342139899730682,3.5455446243286133,0.8723732829093933,0.00047892332077026367,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
31,0.6630110664475233,1.7561103105545044,1.079901933670044,1.3251831234038955,-0.04263663291931152,20703.51953125,-0.03398393764953433,0.016913454979658127,3.931291103363037,0.995184063911438,-0.002057671546936035,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6630389062981856,1.8939558267593384,1.077260971069336,1.376210676734975,-0.11272704601287842,1.4323935508728027,0.20178366282870014,0.29954785108566284,3.6421914100646973,0.8941874504089355,0.001370251178741455,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
32,0.6568702620671207,1.7786195278167725,1.0657554864883423,1.3336489522422206,-0.056000709533691406,20632.43359375,0.0929215219742999,0.09801514446735382,4.201202869415283,0.898003101348877,0.008481979370117188,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6547215251546157,1.8328933715820312,1.078334093093872,1.353843924380514,-0.07685196399688721,1.3651739358901978,0.35793620450795993,0.32525044679641724,3.5673489570617676,0.8666607141494751,0.0021424293518066406,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
33,0.6657031144862785,1.73067307472229,1.0896415710449219,1.3155504835323844,-0.027533888816833496,18837.443359375,-0.011524571726366475,-0.02634117379784584,4.056645393371582,1.0223416090011597,-0.006768226623535156,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6526213978466234,1.8047165870666504,1.0812495946884155,1.3433974047416686,-0.06029772758483887,1.33230721950531,0.20583246734315885,0.26007452607154846,3.5243735313415527,0.8738027215003967,0.0012069940567016602,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
34,0.6546909600160176,1.7263298034667969,1.0743885040283203,1.313898703655193,-0.024955272674560547,19485.849609375,0.06988194248150585,0.09654513001441956,4.165286064147949,0.962252140045166,0.008448660373687744,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6517153790122584,1.8110671043395996,1.0773847103118896,1.345758932476244,-0.06402873992919922,1.3500473499298096,0.32007441094031885,0.33253738284111023,3.549750804901123,0.8686177730560303,0.0065691471099853516,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
35,0.655767902395779,1.7302446365356445,1.0724010467529297,1.3153876373661282,-0.02727973461151123,17079.5078125,0.05228648778459452,0.08291523158550262,4.164566993713379,0.9681440591812134,0.004372537136077881,0.33458646616541354,0.3324883819180397,0.3370360912495744,0.17973491886535364,0.6507265191329153,1.813373327255249,1.0738388299942017,1.346615508322717,-0.0653836727142334,1.3736549615859985,0.23307982745397576,0.30744054913520813,3.5738062858581543,0.8712702989578247,0.014172494411468506,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
36,0.6566380576083535,1.6901310682296753,1.0780575275421143,1.3000504098801997,-0.0034633874893188477,16339.9169921875,0.06624763770472639,0.09027578681707382,3.9799070358276367,1.0037959814071655,0.003989100456237793,0.3308270676691729,0.2522522522522523,0.33320565202587676,0.1841378482228626,0.6684876194125727,1.931724190711975,1.0780853033065796,1.3898648102286693,-0.1349165439605713,1.4781275987625122,0.05613612745722514,0.25035956501960754,3.6880459785461426,0.8944936394691467,0.00422137975692749,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
37,0.6505182887378492,1.7611573934555054,1.0645334720611572,1.327086053523096,-0.04563319683074951,15574.7783203125,0.0008684075624515151,0.08799346536397934,4.247739315032959,0.8976262807846069,0.0035108327865600586,0.33458646616541354,0.3324883819180397,0.3370360912495744,0.17973491886535364,0.6493437854867232,1.8353866338729858,1.063348650932312,1.3547644200646052,-0.07831680774688721,1.4268516302108765,0.164687859304335,0.25254595279693604,3.6430649757385254,0.8974637389183044,0.02953726053237915,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
